Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
063010027;10/22/2006;01:11 AM;4.0;AGGRAVATED ASSAULT;;;;5666 N TEUTONIA AV
062940007;10/21/2006;02:25 AM;4.0;ROBBERY;;;;6918 N TEUTONIA AV
062940019;10/21/2006;01:23 AM;7.0;ROBBERY;;;;5048 N 35TH ST
062940031;10/21/2006;12:43 AM;7.0;ALL OTHER LARCENY;;;;4070 N 24TH PL
062940056;10/21/2006;04:02 AM;4.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5239 N TEUTONIA AV
062940065;10/21/2006;08:41 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4215 N 24TH PL
062940069;10/21/2006;09:07 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;4800 N 37TH ST
062940081;10/21/2006;08:14 AM;4.0;MOTOR VEHICLE THEFT;;;;3115 W THURSTON AV
062940110;10/21/2006;12:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5000 N 47TH ST
062940112;10/21/2006;10:01 AM;4.0;KIDNAPING;ROBBERY;;;4240 W SILVER SPRING DR
062940112;10/21/2006;10:01 AM;4.0;ROBBERY;;;;4240 W SILVER SPRING DR
062940120;10/21/2006;12:13 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4541 N 29TH ST
062940139;10/21/2006;02:33 PM;7.0;ALL OTHER LARCENY;;;;4330 W HAMPTON AV
062940142;10/21/2006;01:41 PM;4.0;MOTOR VEHICLE THEFT;;;;5427 N 35TH ST
062940162;10/21/2006;01:49 PM;7.0;ALL OTHER LARCENY;;;;2040 W ATKINSON AV
062940230;10/21/2006;10:20 PM;4.0;SIMPLE ASSAULT;;;;5876 N 42ND ST
062950004;10/21/2006;11:06 PM;7.0;MOTOR VEHICLE THEFT;;;;4022 N 26TH ST
063190025;10/21/2006;12:50 AM;7.0;SIMPLE ASSAULT;;;;5177 N TEUTONIA AV #4
062930007;10/20/2006;12:18 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;LIQUOR LAW VIOLATIONS;;4645 N GREEN BAY AV
062930018;10/20/2006;01:16 AM;4.0;ROBBERY;;;;4225 W GOOD HOPE RD
062930058;10/20/2006;07:52 AM;7.0;MOTOR VEHICLE THEFT;;;;4116 N 17TH ST
